时间	设备名称	片上时间()	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(?t)	磁场Y(?t)	磁场Z(?t)	温度(℃)	电量()	信号()	版本号()
15:48:20.878	WT5500002992(2).wplay	2024-10-8 15:13:39.793	0.009	0.998	-0.042	0.000	0.000	0.000	92.483	-0.610	147.892	80.371	-57.129	132.031	39.4	3.67	-69	13011
15:48:20.878	WT5500002992(2).wplay	2024-10-8 15:13:39.915	0.011	0.003	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.262	-95.312	-27.539	39.4	3.72	-60	13011
15:48:20.881	WT5500002992(2).wplay	2024-10-8 15:13:39.893	0.009	0.998	-0.042	0.000	0.000	0.000	92.477	-0.610	147.903	80.664	-57.031	132.520	39.4	3.67	-69	13011
15:48:20.882	WT5500002992(2).wplay	2024-10-8 15:13:39.993	0.006	0.003	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.555	-95.410	-27.441	39.4	3.72	-60	13011
15:48:20.894	WT5500002992(2).wplay	2024-10-8 15:13:40.93	0.008	0.003	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.359	-95.312	-27.344	39.4	3.72	-60	13011
15:48:20.908	WT5500002992(2).wplay	2024-10-8 15:13:40.193	0.009	0.004	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.359	-95.410	-27.441	39.4	3.72	-60	13011
15:48:20.909	WT5500002992(2).wplay	2024-10-8 15:13:40.215	0.011	0.002	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.312	-27.344	39.4	3.72	-60	13011
15:48:20.911	WT5500002992(2).wplay	2024-10-8 15:13:40.293	0.008	0.998	-0.042	0.000	0.000	0.000	92.477	-0.610	147.898	80.273	-57.617	131.836	39.4	3.67	-70	13011
15:48:20.914	WT5500002992(2).wplay	2024-10-8 15:13:40.315	0.011	0.004	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.410	-27.441	39.4	3.72	-60	13011
15:48:20.926	WT5500002992(2).wplay	2024-10-8 15:13:40.415	0.011	0.997	-0.043	0.000	0.000	0.000	92.477	-0.610	147.903	80.859	-58.398	132.812	39.4	3.67	-70	13011
15:48:20.927	WT5500002992(2).wplay	2024-10-8 15:13:40.393	0.008	0.998	-0.043	0.000	0.000	0.000	92.477	-0.610	147.903	80.371	-57.812	131.836	39.4	3.67	-70	13011
15:48:20.928	WT5500002992(2).wplay	2024-10-8 15:13:40.493	0.009	0.003	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.359	-95.312	-27.539	39.4	3.72	-60	13011
15:48:20.930	WT5500002992(2).wplay	2024-10-8 15:13:40.515	0.011	0.003	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.359	-95.605	-27.246	39.4	3.72	-60	13011
15:48:20.942	WT5500002992(2).wplay	2024-10-8 15:13:40.593	0.008	0.998	-0.043	0.000	0.000	0.000	92.477	-0.610	147.903	80.469	-57.812	131.738	39.4	3.67	-70	13011
15:48:20.942	WT5500002992(2).wplay	2024-10-8 15:13:40.615	0.011	0.003	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.410	-27.441	39.4	3.72	-60	13011
15:48:20.960	WT5500002992(2).wplay	2024-10-8 15:13:40.693	0.008	0.997	-0.042	0.000	0.000	0.000	92.477	-0.610	147.903	80.273	-57.812	131.543	39.4	3.67	-70	13011
15:48:20.962	WT5500002992(2).wplay	2024-10-8 15:13:40.793	0.008	0.004	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.312	-27.539	39.4	3.72	-54	13011
15:48:20.974	WT5500002992(2).wplay	2024-10-8 15:13:40.893	0.007	0.003	1.006	0.000	0.000	0.000	0.187	-0.467	135.483	93.359	-95.410	-27.539	39.4	3.72	-54	13011
15:48:20.976	WT5500002992(2).wplay	2024-10-8 15:13:40.915	0.010	0.004	1.006	0.000	0.000	0.000	0.187	-0.467	135.483	93.359	-95.215	-27.539	39.4	3.72	-54	13011
15:48:20.977	WT5500002992(2).wplay	2024-10-8 15:13:41.15	0.010	0.998	-0.043	0.000	0.000	0.000	92.472	-0.610	147.909	81.445	-56.445	133.398	39.4	3.67	-70	13011
15:48:20.990	WT5500002992(2).wplay	2024-10-8 15:13:41.115	0.010	0.994	-0.042	0.000	0.000	0.000	92.472	-0.610	147.903	80.566	-57.520	132.031	39.4	3.67	-66	13011
15:48:20.990	WT5500002992(2).wplay	2024-10-8 15:13:41.193	0.008	0.998	-0.043	0.000	0.000	0.000	92.472	-0.610	147.903	80.371	-57.715	131.641	39.4	3.67	-66	13011
15:48:21.059	WT5500002992(2).wplay	2024-10-8 15:13:41.393	0.008	0.004	1.006	0.000	0.000	0.000	0.181	-0.461	135.483	93.555	-95.312	-27.441	39.4	3.72	-54	13011
15:48:21.062	WT5500002992(2).wplay	2024-10-8 15:13:41.215	0.011	0.001	1.006	0.000	0.000	0.000	0.187	-0.467	135.483	93.359	-95.312	-27.539	39.5	3.72	-54	13011
15:48:21.063	WT5500002992(2).wplay	2024-10-8 15:13:41.315	0.008	0.999	-0.044	0.000	0.000	0.000	92.472	-0.604	147.903	80.371	-58.008	131.738	39.4	3.67	-66	13011
15:48:21.063	WT5500002992(2).wplay	2024-10-8 15:13:41.415	0.010	0.997	-0.043	0.000	0.000	0.000	92.472	-0.604	147.898	80.566	-57.812	131.738	39.5	3.67	-66	13011
15:48:21.075	WT5500002992(2).wplay	2024-10-8 15:13:41.515	0.011	0.998	-0.042	0.000	0.000	0.000	92.466	-0.604	147.898	80.469	-57.812	131.738	39.4	3.67	-66	13011
15:48:21.078	WT5500002992(2).wplay	2024-10-8 15:13:41.615	0.012	0.998	-0.042	0.000	0.000	0.000	92.466	-0.604	147.898	80.762	-57.520	132.324	39.4	3.67	-66	13011
15:48:21.094	WT5500002992(2).wplay	2024-10-8 15:13:41.715	0.011	0.997	-0.043	0.000	0.000	0.000	92.466	-0.610	147.898	80.469	-57.617	131.738	39.4	3.67	-66	13011
15:48:21.097	WT5500002992(2).wplay	2024-10-8 15:13:41.793	0.009	0.998	-0.042	0.000	0.000	0.000	92.461	-0.610	147.898	80.371	-57.715	131.738	39.4	3.67	-66	13011
15:48:21.106	WT5500002992(2).wplay	2024-10-8 15:13:41.915	0.010	0.003	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.359	-95.410	-27.441	39.4	3.72	-52	13011
15:48:21.109	WT5500002992(2).wplay	2024-10-8 15:13:41.993	0.007	0.998	-0.042	0.000	0.000	0.000	92.461	-0.610	147.892	80.566	-57.812	131.543	39.4	3.67	-66	13011
15:48:21.119	WT5500002992(2).wplay	2024-10-8 15:13:42.93	0.009	0.002	1.004	0.000	0.000	0.000	0.176	-0.467	135.483	93.457	-95.312	-27.539	39.4	3.72	-52	13011
15:48:21.131	WT5500002992(2).wplay	2024-10-8 15:13:42.293	0.009	0.003	1.006	0.000	0.000	0.000	0.181	-0.472	135.483	93.359	-95.312	-27.637	39.4	3.72	-52	13011
15:48:21.147	WT5500002992(2).wplay	2024-10-8 15:13:42.393	0.008	0.002	1.005	0.000	0.000	0.000	0.176	-0.467	135.483	93.555	-95.312	-27.441	39.4	3.72	-52	13011
15:48:21.150	WT5500002992(2).wplay	2024-10-8 15:13:42.493	0.008	0.003	1.005	0.000	0.000	0.000	0.176	-0.467	135.483	93.359	-95.312	-27.441	39.4	3.72	-52	13011
15:48:21.158	WT5500002992(2).wplay	2024-10-8 15:13:42.593	0.008	0.003	1.006	0.000	0.000	0.000	0.176	-0.467	135.483	93.359	-95.215	-27.441	39.4	3.72	-52	13011
15:48:21.171	WT5500002992(2).wplay	2024-10-8 15:13:42.693	0.008	0.003	1.005	0.000	0.000	0.000	0.176	-0.472	135.483	93.359	-95.312	-27.441	39.4	3.72	-52	13011
15:48:21.172	WT5500002992(2).wplay	2024-10-8 15:13:42.515	0.010	0.003	1.005	0.000	0.000	0.000	0.176	-0.472	135.483	93.457	-95.312	-27.344	39.4	3.72	-55	13011
15:48:21.173	WT5500002992(2).wplay	2024-10-8 15:13:42.715	0.011	0.999	-0.042	0.000	0.000	0.000	92.455	-0.610	147.887	80.273	-57.715	131.445	39.5	3.67	-62	13011
15:48:21.177	WT5500002992(2).wplay	2024-10-8 15:13:42.793	0.009	0.998	-0.042	0.000	0.000	0.000	92.455	-0.615	147.892	80.273	-57.812	131.641	39.5	3.67	-62	13011
